price,sqft,age,features,northeast,custom_build,corner_lot
205000,2650,13,7,"yes","yes","no"
208000,2600,.,4,"yes","yes","no"
215000,2664,6,5,"yes","yes","no"
215000,2921,3,6,"yes","yes","no"
199900,2580,4,4,"yes","yes","no"
190000,2580,4,4,"yes","no","no"
180000,2774,2,4,"yes","no","no"
156000,1920,1,5,"yes","yes","no"
145000,2150,.,4,"yes","no","no"
144900,1710,1,3,"yes","yes","no"
137500,1837,4,5,"yes","no","no"
127000,1880,8,6,"yes","no","no"
125000,2150,15,3,"yes","no","no"
123500,1894,14,5,"yes","yes","no"
117000,1928,18,8,"yes","yes","no"
118000,1830,.,3,"yes","no","no"
115500,1767,16,4,"yes","no","no"
111000,1630,15,3,"yes","no","yes"
113900,1680,17,4,"yes","no","yes"
99500,1725,.,3,"yes","no","no"
99500,1500,15,4,"yes","no","no"
97500,1430,.,3,"yes","no","no"
97500,1360,.,4,"yes","no","no"
90000,1400,16,2,"yes","no","yes"
96000,1573,17,6,"yes","no","no"
86000,1385,.,2,"yes","no","no"
169500,2931,28,3,"yes","no","yes"
155300,2200,28,4,"yes","no","no"
125000,2277,.,4,"yes","yes","no"
130000,2000,.,3,"yes","yes","no"
102000,1478,53,3,"yes","no","yes"
102000,1713,30,4,"yes","no","yes"
92200,1326,.,4,"yes","no","no"
92500,1050,.,2,"yes","no","yes"
89900,1464,.,2,"yes","yes","no"
85000,1190,41,1,"yes","no","no"
87600,1156,.,1,"yes","no","no"
89000,1746,.,2,"yes","no","no"
87000,1280,.,1,"yes","no","no"
70000,1215,.,3,"yes","no","no"
72000,1121,46,4,"yes","no","no"
72000,1050,.,1,"yes","no","no"
74900,1733,43,6,"yes","no","no"
73100,1299,.,6,"yes","no","no"
72500,1140,.,3,"yes","no","yes"
67000,1181,.,4,"yes","no","no"
215000,2848,4,6,"yes","yes","no"
159900,2440,.,5,"yes","yes","no"
135000,2253,23,4,"yes","yes","no"
129900,2743,25,5,"yes","yes","yes"
125000,2180,17,4,"yes","no","yes"
123900,1706,14,4,"yes","no","no"
120000,1948,.,4,"yes","no","no"
112500,1710,16,4,"yes","yes","no"
110000,1657,.,4,"yes","no","no"
108000,2200,26,4,"yes","no","no"
105000,1680,13,4,"yes","no","no"
104900,1900,34,3,"yes","no","no"
95500,1565,.,3,"yes","yes","no"
93400,1543,20,3,"yes","no","no"
87500,1173,6,4,"yes","no","no"
88900,1549,.,4,"yes","no","no"
85500,1900,.,3,"yes","no","no"
83500,1560,.,5,"yes","no","yes"
81000,1365,.,2,"yes","no","no"
80500,1258,7,4,"yes","no","yes"
79900,1314,.,2,"yes","no","no"
75000,1338,.,3,"yes","no","yes"
75900,997,4,4,"yes","no","no"
75500,1275,.,5,"yes","no","no"
75000,1030,.,1,"yes","no","no"
73000,1027,.,3,"yes","no","no"
72900,1007,19,6,"yes","no","no"
71000,1083,22,4,"yes","no","no"
77300,1320,.,5,"yes","no","no"
69000,1348,15,2,"yes","yes","no"
67000,1350,.,2,"yes","no","no"
61900,837,.,2,"yes","no","no"
129500,3750,.,4,"no","yes","yes"
97500,1500,7,3,"no","yes","yes"
93900,1428,40,2,"no","no","no"
82000,1375,.,1,"no","no","no"
78000,1080,.,3,"no","yes","no"
77000,900,.,3,"no","no","no"
70000,1505,.,2,"no","no","yes"
62000,1480,.,4,"no","no","no"
54000,1142,.,0,"no","no","no"
107000,1464,.,2,"no","no","no"
210000,2116,25,3,"no","yes","no"
72500,1280,.,3,"no","no","no"
66000,1159,.,0,"no","no","no"
60000,1198,.,4,"no","no","no"
58000,1051,15,2,"no","no","no"
184400,2250,40,6,"no","yes","no"
158000,2563,.,2,"no","yes","no"
69900,1400,45,1,"no","yes","yes"
133000,1850,5,5,"no","yes","yes"
116000,1720,5,4,"no","no","no"
110900,1740,4,3,"no","no","no"
112900,1700,6,4,"no","no","no"
105000,1620,6,4,"no","no","no"
104500,1630,6,4,"no","no","no"
105000,1920,8,4,"no","no","no"
102000,1606,5,4,"no","no","no"
100000,1535,7,5,"no","no","yes"
103000,1540,6,2,"no","no","yes"
97500,1739,13,3,"no","no","no"
95000,1715,.,3,"no","no","no"
94000,1305,5,3,"no","no","no"
92000,1415,7,4,"no","no","no"
94500,1580,9,3,"no","no","no"
87400,1236,3,4,"no","no","no"
87200,1229,6,3,"no","no","no"
87000,1273,4,4,"no","no","no"
86900,1165,7,4,"no","no","no"
76600,1200,7,4,"no","no","yes"
73900,970,4,4,"no","no","yes"
